Price,Seller,Postcode,LandSize,YearBuilt
895000,hockingstua,3000,0,0
1630000,Dingle,3000,95,0
436000,RT,3000,0,0
610000,Pagan,3000,0,0
650000,Elite,3000,0,0
210000,Greg,3000,0,0
671000,MICM,3000,0,0
427000,Harcourts,3000,0,0
470000,Greg,3000,0,1917
440000,Harcourts,3000,0,1920
700000,Castran,3000,0,1920
1850000,hockingstua,3000,0,1938
450000,Dingle,3000,0,1960
733000,MICM,3000,0,1965
680000,MICM,3000,0,1965
360000,LITTLE,3000,0,1974
386000,Dingle,3000,0,1976
760000,hockingstua,3000,0,1997
780000,Galldon,3000,0,1997
750000,Greg,3000,0,1998
740000,MICM,3000,0,1999
275000,Whiting,3000,0,2000
432000,Greg,3000,0,2001
535000,HAR,3000,0,2001
545000,Greg,3000,0,2002
483000,Greg,3000,0,2004
665000,Purplebrick,3000,0,2004
640000,Greg,3000,0,2005
520000,Greg,3000,4051,2005
400000,Greg,3000,0,2005
432000,LITTLE,3000,0,2005
452000,RT,3000,0,2006
659000,Harcourts,3000,0,2006
1160500,Kay,3000,4230,2006
683000,MICM,3000,1136,2009
360000,Dingle,3000,1136,2009
333000,Biggin,3000,0,2010
390000,Dingle,3000,1751,2012
675000,Kay,3000,0,2014
375000,LITTLE,3000,1414,2014
450000,MICM,3000,0,2014
885000,Woodards,3002,1489,0
810000,Biggin,3002,944,0
503000,Biggin,3002,0,0
765000,Woodards,3002,0,0
872000,Dingle,3002,0,0
630000,Caine,3002,0,0
900000,Caine,3002,0,0
565000,Caine,3002,0,0
1475000,Frank,3002,179,0
1400000,Caine,3002,0,0
1015000,Caine,3002,0,0
740000,Woodards,3002,0,0
3520000,Jellis,3002,364,0
4525000,Caine,3002,220,0
1875000,Jellis,3002,118,1890
750000,Caine,3002,0,1930
4275000,Caine,3002,326,1970
700000,Harcourts,3002,0,1970
1350000,Caine,3002,87,2005
1935000,Nelson,3002,0,2010
792000,Nardella,3003,0,0
1171000,Alexkarbon,3003,650,0
2100000,Brad,3003,440,0
650000,MICM,3003,0,0
1750000,Woodards,3003,160,1870
1053000,Purplebrick,3003,147,1880
2370000,Alexkarbon,3003,265,1880
443000,Nelson,3003,547,1900
482000,Nelson,3003,0,1930
550000,Nelson,3003,0,1930
995000,Alexkarbon,3003,0,1940
1010000,Jellis,3003,0,1940
601000,MICM,3003,0,1996
